,Movie Title,Genre,tconst,Runtime (min),IMDB Rating,Worldwide Box Office (USD),Domestic Box Office (USD),budget,release_date,popularity
206,Shutter Island,"Mystery, Thriller",tt1130884,138.0,8.1,294804195,128012934,80000000.0,2010-02-14,31.688
207,Into the Woods,"Adventure, Comedy, Drama",tt2180411,125.0,6.0,212902372,128002372,50000000.0,2014-12-24,21.764
208,Central Intelligence,"Action, Comedy, Crime",tt1489889,107.0,6.3,216972543,127440871,50000000.0,2016-06-15,15.622
209,Anchorman 2: The Legend Continues,Comedy,tt1229340,119.0,6.3,171464676,127352707,50000000.0,2013-12-18,14.782
210,Bumblebee,"Action, Adventure, Sci-Fi",tt4701182,114.0,6.9,467989645,127195589,135000000.0,2018-12-15,28.935
211,Super 8,"Mystery, Sci-Fi, Thriller",tt1650062,112.0,7.0,260095986,127004179,50000000.0,2011-06-08,25.253
212,Lucy,"Action, Sci-Fi, Thriller",tt2872732,89.0,6.4,458863600,126663600,40000000.0,2014-07-25,25.57
213,The Legend of Tarzan,"Action, Adventure, Drama",tt0918940,110.0,6.3,356700357,126643061,180000000.0,2016-06-06,22.531
214,Prometheus,"Adventure, Mystery, Sci-Fi",tt1446714,124.0,7.0,403354469,126477084,130000000.0,2012-05-30,28.647
215,Safe House,"Action, Thriller",tt1599348,115.0,6.8,208076205,126373434,85000000.0,2012-02-09,23.386
